iter	Logloss
0	0.5432317988
1	0.4444398644
2	0.363187054
3	0.2998545468
4	0.2390794338
5	0.1885319697
6	0.1455507099
7	0.1174116518
8	0.09344827859
9	0.07540811381
10	0.06055918009
11	0.04943518663
12	0.04153942531
13	0.03583336623
14	0.03189963223
15	0.02818272791
16	0.02515604681
17	0.02265722345
18	0.02073090808
19	0.01943649378
20	0.01784939545
21	0.01646547324
22	0.01565605308
23	0.01454529788
24	0.01395923329
25	0.01316086486
26	0.01262401183
27	0.01225888748
28	0.0118701259
29	0.01152572805
30	0.01121345066
31	0.01093148331
32	0.01075028872
33	0.01053433869
34	0.01032934769
35	0.01015907211
36	0.009901555362
37	0.009769701534
38	0.009684857756
39	0.009597237131
40	0.009508095984
41	0.009412398953
42	0.00931006488
43	0.009247779688
44	0.00918392019
45	0.009091168729
46	0.009044061961
47	0.008998592495
48	0.008949634037
49	0.008868010612
50	0.008830963242
51	0.008628825702
52	0.008474823748
53	0.008382566777
54	0.008351783071
55	0.008253745574
56	0.008235499526
57	0.008208123571
58	0.008165249619
59	0.008084994814
60	0.008083790892
61	0.008057152265
62	0.008035683168
63	0.00799119414
64	0.007971428708
65	0.007955769191
66	0.007875714151
67	0.007787742367
68	0.007693884521
69	0.007687522596
70	0.007669012916
71	0.007668615989
72	0.007655594533
73	0.007623380491
74	0.007623299184
75	0.007623225819
76	0.007589431342
77	0.007574255166
78	0.007474777531
79	0.007463820612
80	0.0074480608
81	0.007445493406
82	0.007407885845
83	0.007405787939
84	0.007379810317
85	0.00733353481
86	0.007282173117
87	0.007282132781
88	0.007282132758
89	0.007190979838
90	0.007172581721
91	0.007161719115
92	0.007083806141
93	0.00708019667
94	0.00708017364
95	0.007080152256
96	0.007063520044
97	0.006999032857
98	0.006986103145
99	0.006895021964
100	0.006871114345
101	0.006833969917
102	0.006825909607
103	0.006760692271
104	0.006727047785
105	0.006710415917
106	0.006688592695
107	0.00662973765
108	0.006626259038
109	0.006610347248
110	0.00657464754
111	0.006525102606
112	0.006520421728
113	0.006514158015
114	0.006507652754
115	0.006487074746
116	0.006475027588
117	0.006442073018
118	0.00641255635
119	0.006381373724
120	0.006356431707
121	0.006328711156
122	0.006285689602
123	0.006272169242
124	0.006271759839
